sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,255605768109793391513099036556256903931,90.0,1,"[74, 74]",10 * 10
0,1,159548303327933451080599917182597213616,81.25,1,"[77, 77]",10 * 10
0,2,304017438162496707812038011226428350691,65.0,1,"[78, 78]",10 * 10
0,3,247859502983019901675779928881357235984,66.66666666666667,1,"[80, 80]",10 * 10
0,4,25727293648469739674713223024446754888,72.0,1,"[85, 85]",10 * 10
0,5,127587578095671281900868431902118859733,68.0,1,"[83, 83]",10 * 10
0,6,30840339745006010417072909089888371350,56.25,1,"[87, 87]",10 * 10
0,7,151078093119476552353753989598655358173,61.111111111111114,1,"[97, 97]",10 * 10
0,8,200577457837401312632902729380169447602,54.166666666666664,1,"[75, 75]",10 * 10
0,9,185065782164191060711256191285815090986,85.71428571428571,1,"[70, 70]",10 * 10
0,10,84457930727498958621132183083998068731,47.82608695652174,1,"[85, 85]",10 * 10
0,11,211170257268913899293593733248808678282,47.82608695652174,1,"[80, 80]",10 * 10
0,12,193379167563175524737210430073804877885,77.77777777777777,1,"[78, 78]",10 * 10
0,13,100602854814997758466543329582038097875,62.5,1,"[87, 87]",10 * 10
0,14,105331321117539278957824462154077893410,75.0,1,"[74, 74]",10 * 10
0,15,305795295654285835662413059732212224945,53.84615384615385,1,"[89, 89]",10 * 10
0,16,9541740770683772409742918494954345325,60.0,1,"[81, 81]",10 * 10
0,17,256866618355128533963058515845648298832,60.0,1,"[92, 92]",10 * 10
0,18,315847313128464348149367251070101934494,50.0,1,"[87, 87]",10 * 10
0,19,10907604938413745776390517184574710941,68.18181818181819,1,"[82, 82]",10 * 10
1,0,99934051412134081286030122008480594039,4.761904761904762,6,"[77, 88]",10 * 10
1,1,105896423412979733296949040505169987777,5.882352941176471,6,"[80, 89]",10 * 10
1,2,182409275893643217073314902339492802506,9.090909090909092,6,"[79, 89]",10 * 10
1,3,240123091430986848042973614715154689487,21.73913043478261,6,"[81, 88]",10 * 10
1,4,326969373587415917463411685862973393332,20.833333333333332,6,"[77, 85]",10 * 10
1,5,181882142847810435816701593266332439350,0.0,6,"[63, 73]",10 * 10
1,6,206538307823994364131877373514911052339,31.25,6,"[80, 89]",10 * 10
1,7,338363608442054981412135895137912244517,17.647058823529413,6,"[73, 88]",10 * 10
1,8,291396099802175209116834917992736610597,13.636363636363637,6,"[75, 88]",10 * 10
1,9,65234009383502866890600303142845565949,13.636363636363637,6,"[75, 89]",10 * 10
1,10,224290690401851130074496845360432027065,26.666666666666668,6,"[81, 90]",10 * 10
1,11,147205887561156318179482853648286638956,7.142857142857143,6,"[82, 91]",10 * 10
1,12,169541446223172066567355062696607971429,0.0,6,"[66, 80]",10 * 10
1,13,156651325045487978432504577574903532183,9.523809523809524,6,"[81, 87]",10 * 10
1,14,79803522150953087832948758167376477273,17.857142857142858,6,"[79, 91]",10 * 10
1,15,217310584401248934550970937019999855930,35.294117647058826,6,"[79, 88]",10 * 10
1,16,330652651556162318058759795124194309006,10.526315789473685,6,"[83, 87]",10 * 10
1,17,55211303868345952787781053426756767888,5.0,6,"[77, 86]",10 * 10
1,18,253222082776295620760302631330867096866,11.11111111111111,6,"[72, 86]",10 * 10
1,19,265916333383256116669383865865814570585,11.11111111111111,6,"[78, 89]",10 * 10
2,0,69224882360198813638036742653263560011,0.0,11,"[43, 56]",10 * 10
2,1,77668578817900718606268910700841061613,0.0,11,"[62, 76]",10 * 10
2,2,251015808862811100652997947817556539632,0.0,11,"[55, 64]",10 * 10
2,3,92368160082222886920953322953333389802,3.7037037037037037,11,"[72, 87]",10 * 10
2,4,151043388992563600450944967335785509714,0.0,11,"[67, 77]",10 * 10
2,5,286163001541145826502960496371420504871,0.0,11,"[71, 84]",10 * 10
2,6,19854847457857988084103642100782757504,7.6923076923076925,11,"[79, 90]",10 * 10
2,7,125258962182023947418040741254421349857,0.0,11,"[47, 58]",10 * 10
2,8,131603421650587343733261846569396733718,6.25,11,"[81, 91]",10 * 10
2,9,202127394479114252757651679259153342855,0.0,11,"[72, 88]",10 * 10
2,10,156496921940243021396355607860662136162,0.0,11,"[74, 85]",10 * 10
2,11,28130700822169910931826500227839949839,15.789473684210526,11,"[75, 88]",10 * 10
2,12,314104414978662327707603816311486427764,0.0,11,"[75, 85]",10 * 10
2,13,277081583562518771784355691142535888492,0.0,11,"[43, 56]",10 * 10
2,14,51569644449250461829300663958398459124,0.0,11,"[75, 91]",10 * 10
2,15,277261604547029345489098075369366312693,0.0,11,"[65, 82]",10 * 10
2,16,216440603307068921920176094755588560827,0.0,11,"[71, 80]",10 * 10
2,17,194487438077049897503413573173856795312,0.0,11,"[51, 63]",10 * 10
2,18,8791413908008191982139899894066990253,0.0,11,"[57, 67]",10 * 10
2,19,96826522991568108355398138782280141888,4.545454545454546,11,"[78, 88]",10 * 10
3,0,41110991547847001746196596683987550447,0.0,16,"[62, 72]",10 * 10
3,1,56335618659775728684012631441350995240,0.0,16,"[47, 62]",10 * 10
3,2,170394155815568014467250837050753118482,4.3478260869565215,16,"[73, 88]",10 * 10
3,3,241218021302154135986187842794701020517,0.0,16,"[29, 44]",10 * 10
3,4,19878461494355002957263169053621323932,0.0,16,"[67, 78]",10 * 10
3,5,14984848615899675051177167451958237258,0.0,16,"[53, 64]",10 * 10
3,6,175379002258866401608804839383220757627,0.0,16,"[67, 80]",10 * 10
