sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,size
0,0,212125384128155783199418005614753137387,18.181818181818183,1,1718,1718,20 * 20
0,1,12382300923188130284409231952040256905,11.688311688311689,1,1730,1730,20 * 20
0,2,245913526784308271140482484742286744380,15.555555555555555,1,1731,1731,20 * 20
0,3,335220774073961013084622874375564354952,15.476190476190476,1,1759,1759,20 * 20
0,4,38643846708219002132722763207281891533,21.348314606741575,1,1741,1741,20 * 20
0,5,127259059486151367100182737642565703321,11.11111111111111,1,1736,1736,20 * 20
0,6,17768871759452089579116438960769977558,7.6923076923076925,1,1741,1741,20 * 20
0,7,263374903942076124959278986778813565850,12.0,1,1732,1732,20 * 20
0,8,271793637058324098590357047708499361229,10.975609756097562,1,1699,1699,20 * 20
0,9,75276859232412138517096827918753560665,24.324324324324323,1,1733,1733,20 * 20
1,0,13764614556803943707951183849932227663,0.0,6,565,584,20 * 20
1,1,62025631890297172271459062530488666267,0.0,6,808,840,20 * 20
1,2,25775163321932565786918179839471135133,0.0,6,688,715,20 * 20
1,3,218374833449251045548172595157374597024,0.0,6,1003,1042,20 * 20
1,4,330440810458330273807335756449829315005,0.0,6,791,843,20 * 20
1,5,244457771605554264278444523041580824382,0.0,6,457,472,20 * 20
1,6,311518349240593386731614938960410076843,0.0,6,1173,1247,20 * 20
1,7,252407376161918268137064812901352202265,0.0,6,657,706,20 * 20
1,8,48608676433668188018730713296065325631,0.0,6,448,473,20 * 20
1,9,127032192016838036175356170913550766507,0.0,6,753,779,20 * 20
2,0,225666229297207038886161021122409175573,0.0,11,457,494,20 * 20
2,1,159975139427969041722766624346650583823,0.0,11,511,537,20 * 20
2,2,54668787637120406383214482166769770146,0.0,11,488,524,20 * 20
2,3,223555148020279376178743136003160241060,0.0,11,350,370,20 * 20
2,4,47307937350452515610760886962595101796,0.0,11,289,318,20 * 20
2,5,138024634389568754935215533059090383704,0.0,11,308,326,20 * 20
2,6,224213650947165080852786850528122064732,0.0,11,434,456,20 * 20
2,7,279124232226670738082543863682390872912,0.0,11,411,452,20 * 20
2,8,303697175629068820788054879374776930956,0.0,11,441,463,20 * 20
2,9,297047960044845418788230071799139048319,0.0,11,527,555,20 * 20
3,0,213173730073655555048807735687954851269,0.0,16,320,338,20 * 20
3,1,206707666265999585847037662975815393313,0.0,16,339,360,20 * 20
3,2,324080161021333101435400489524807969116,0.0,16,257,288,20 * 20
3,3,129955722492463037444612510565802246232,0.0,16,291,324,20 * 20
3,4,35657714875983925976302102938780962519,0.0,16,368,386,20 * 20
3,5,221221808629429608646455012106557726371,0.0,16,311,336,20 * 20
3,6,2407251578915930460967897907557348445,0.0,16,559,592,20 * 20
3,7,113590894157967880206339398238773135499,0.0,16,383,413,20 * 20
3,8,189907668841754291849496460434284883998,0.0,16,329,368,20 * 20
3,9,64868298919765643433173698095798710377,0.0,16,288,321,20 * 20
4,0,35731715763201874917569096977194296187,0.0,20,268,288,20 * 20
4,1,201366681925583486798357813170623068781,0.0,20,269,290,20 * 20
4,2,289347786553194856647908305474674760860,0.0,20,274,297,20 * 20
4,3,209409336493403461597499214010703504206,0.0,20,329,360,20 * 20
4,4,235383946042348880605281435328135087008,0.0,20,227,255,20 * 20
4,5,157401005695394823487202602439150689193,0.0,20,239,272,20 * 20
4,6,336885689967189067835812437857623524189,0.0,20,389,424,20 * 20
4,7,120471734447693630916631631846672306802,0.0,20,211,234,20 * 20
4,8,300375206603699119536144638623753947805,0.0,20,462,494,20 * 20
4,9,321720525166930579206153509456714604389,0.0,20,405,434,20 * 20
