sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,232579381502804101931318662521804879367,0.0,1,3369,3369,3871,20 * 20
0,1,18485494453337669204254615400788148863,0.0,1,3385,3385,3888,20 * 20
0,2,121153682038430295495044448197189549834,0.0,1,2598,2598,2995,20 * 20
0,3,16052527793400000884058224765666084940,1.3888888888888888,1,4363,4363,5000,20 * 20
0,4,121093130818033030408796674474750162003,1.4705882352941178,1,4280,4280,5000,20 * 20
0,5,284548109600639212391409226181489702682,0.0,1,4200,4200,4857,20 * 20
0,6,192306062037726949736829163972976472370,1.25,1,4345,4345,5000,20 * 20
0,7,114045389712077061430686249540973886503,0.0,1,3186,3186,3745,20 * 20
0,8,113434490559032010269236595027579019458,6.666666666666667,1,4311,4311,5000,20 * 20
0,9,260227247334407981414535282747600771968,1.1363636363636365,1,4286,4286,5000,20 * 20
1,0,122597793635420455020517091517407024909,0.0,13,447,483,540,20 * 20
1,1,115278545610884771224429659879052927578,0.0,13,528,572,650,20 * 20
1,2,232543286359898149055170758451864004547,0.0,13,342,380,418,20 * 20
1,3,271974182809052742038640456493870663779,0.0,13,664,700,784,20 * 20
1,4,19480350230820020923081506709678511215,0.0,13,465,494,563,20 * 20
1,5,288421750720258678407791805088025094788,0.0,13,478,503,570,20 * 20
1,6,157057232293614379154065480656114406258,0.0,13,240,256,287,20 * 20
1,7,271622301061587805814836654276858033305,0.0,13,448,486,541,20 * 20
1,8,339889361772207231298268494995912806437,0.0,13,395,447,502,20 * 20
1,9,103138167385163922671945150663003528596,0.0,13,332,355,402,20 * 20
2,0,322889003110548990354644933303665947371,0.0,26,423,458,514,20 * 20
2,1,319025647386987435695980607347200046139,0.0,26,298,334,372,20 * 20
2,2,97801143338888094721327741965662014388,0.0,26,195,229,250,20 * 20
2,3,42048743346287112705352209910305451998,0.0,26,278,305,340,20 * 20
2,4,307491886644227682204999883685055325385,0.0,26,246,281,310,20 * 20
2,5,186633873242265831029380253574446018514,0.0,26,162,181,199,20 * 20
2,6,275663728720391710036344075127054360469,0.0,26,191,219,240,20 * 20
2,7,153448124305840889442311849048481836049,0.0,26,373,405,450,20 * 20
2,8,220271075944134606535337345018812010571,0.0,26,337,378,416,20 * 20
2,9,121026573974703959874440812767392303230,0.0,26,201,230,253,20 * 20
3,0,242871889747438484845457509649219408135,0.0,38,288,324,358,20 * 20
3,1,91509197734282605247555422618991532423,0.0,38,232,262,290,20 * 20
3,2,44453669106144268513800436015514294364,0.0,38,265,300,332,20 * 20
3,3,144468674072298919357062450931923657977,0.0,38,275,308,343,20 * 20
3,4,113498319322827341511207686652682090561,0.0,38,244,274,305,20 * 20
3,5,208541524799721748721129316643656500935,0.0,38,444,493,545,20 * 20
3,6,203270027457719307879975133545874045160,0.0,38,284,313,348,20 * 20
3,7,268633842366273613337633803589894010423,0.0,38,194,223,244,20 * 20
3,8,183635328346567031482367644350015659020,0.0,38,200,235,258,20 * 20
3,9,118442731210066663864247907293974951877,0.0,38,218,253,279,20 * 20
4,0,230059713860867785322952989607847359735,0.0,50,150,175,191,20 * 20
4,1,246126632868325560242006607680591810700,0.0,50,195,216,241,20 * 20
4,2,339705673390411923954381376633054951825,0.0,50,172,199,219,20 * 20
4,3,99199343875976280379904040550415623981,0.0,50,174,205,222,20 * 20
4,4,316961576479812676328494104552077991234,0.0,50,148,173,188,20 * 20
4,5,296635721214925292647120103571222012212,0.0,50,256,289,313,20 * 20
4,6,271892625357721650574243086284733922924,0.0,50,171,202,218,20 * 20
4,7,108781592336480451430573674761499319583,0.0,50,174,196,214,20 * 20
4,8,199562198826469181216760411869356682023,0.0,50,135,166,181,20 * 20
4,9,184493612658901283495304941589538395823,0.0,50,226,257,281,20 * 20
